"Date","IDSwipes","LDT","Turnstile","Day","Hours","Month","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyRelativeHumidity","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Hour","Minutes","WeekdayCount","Week","Week_Day","End_of_Week","DayTemperature.Date","DayTemperature.Temperature"
2019-01-02, 235,"2019-01-02 07:14:08","DEDM (101.2LB)","Wednesday","2019-01-02 07","2019-01",30.23,30,NA,"-RA:02 |RA |RA", 93,"OVC:08 7",29.54, 4.00,"020","18",13, 7,14,"2019-01-02 Wednesday","2019-01 Wednesday",3,2019-01-05,2019-01-02,33.74468
2019-01-03, 123,"2019-01-03 07:05:43","DEDM (101.3LB)","Thursday","2019-01-03 07","2019-01",30.07,36,NA,"-RA:02 |RA |RA", 93,"OVC:08 5",29.38, 2.00,"290",NA, 6, 7, 5,"2019-01-03 Thursday","2019-01 Thursday",4,2019-01-05,2019-01-03,38.18699
2019-01-04, 267,"2019-01-04 04:12:23","DEDM (101.2LB)","Friday","2019-01-04 04","2019-01",29.94,33,NA,NA, 89,"OVC:08 10",29.25,10.00,"290","16",11, 4,12,"2019-01-04 Friday","2019-01 Friday",5,2019-01-05,2019-01-04,49.79026
2019-01-05, 172,"2019-01-05 07:37:46","DEDM (101.1LB)","Saturday","2019-01-05 07","2019-01",30.10,34,NA,NA, 76,"*",29.41,10.00,"130",NA, 3, 7,37,"2019-01-05 Saturday","2019-01 Saturday",6,2019-01-05,2019-01-05,62.19767
2019-01-06, 156,"2019-01-06 12:33:08","DEDM (101.1LB)","Sunday","2019-01-06 12","2019-01",30.10,43,NA,NA, 63,"*",29.41,10.00,"170","17",10,12,33,"2019-01-06 Sunday","2019-01 Sunday",0,2019-01-12,2019-01-06,64.43590
2019-01-07, 480,"2019-01-07 08:54:59","DEDM (101.2LB)","Monday","2019-01-07 08","2019-01",30.01,59,NA,NA, 88,"SCT:04 130",29.32,10.00,"200","16",10, 8,54,"2019-01-07 Monday","2019-01 Monday",1,2019-01-12,2019-01-07,67.55208
2019-01-08, 584,"2019-01-08 07:33:03","DEDM (101.3LB)","Tuesday","2019-01-08 07","2019-01",30.10,39,NA,NA, 67,"*",29.41,10.00,"000",NA, 0, 7,33,"2019-01-08 Tuesday","2019-01 Tuesday",2,2019-01-12,2019-01-08,58.88870
2019-01-09, 570,"2019-01-09 08:09:51","DEDM (101.3LB)","Wednesday","2019-01-09 08","2019-01",30.54,25,NA,NA, 49,"*",29.84,10.00,"010",NA, 8, 8, 9,"2019-01-09 Wednesday","2019-01 Wednesday",3,2019-01-12,2019-01-09,52.00877
2019-01-10, 534,"2019-01-10 08:59:35","DEDM (101.1LB)","Thursday","2019-01-10 08","2019-01",30.35,19,NA,NA, 37,"OVC:08 75",29.65,10.00,"100",NA, 9, 8,59,"2019-01-10 Thursday","2019-01 Thursday",4,2019-01-12,2019-01-10,49.20412
2019-01-11, 552,"2019-01-11 06:27:47","DEDM (101.1LB)","Friday","2019-01-11 06","2019-01",30.11,37,NA,NA, 71,"SCT:04 29 OVC:08 39",29.42,10.00,"140","23",15, 6,27,"2019-01-11 Friday","2019-01 Friday",5,2019-01-12,2019-01-11,48.97826
