"Month","IDSwipes","Day","Date","Hours","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyRelativeHumidity","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Hour","Week_Day","End_of_Week","MonthTemperature.Month","MonthTemperature.Temperature"
"2019-01",26754,"Wednesday",2019-01-02,"2019-01-02 07",30.23,30,NA,"-RA:02 |RA |RA",93,"OVC:08 7",29.54, 4,"020","18",13, 7,3,2019-01-05,2019-01,48.89359
"2019-02",39223,"Friday",2019-02-01,"2019-02-01 07",30.17,54,NA,"BR:1 ||",94,"BKN:07 3 BKN:07 11 BKN:07 32",29.48, 5,"160",NA,10, 7,5,2019-02-02,2019-02,52.64738
"2019-03",32565,"Friday",2019-03-01,"2019-03-01 06",30.12,28,NA,NA,81,"OVC:08 21",29.43,10,"000",NA, 0, 6,5,2019-03-02,2019-03,57.97887
"2019-04",37192,"Monday",2019-04-01,"2019-04-01 05",30.28,27,NA,NA,53,"*",29.58,10,"000",NA, 0, 5,1,2019-04-06,2019-04,70.24451
"2019-05",17963,"Wednesday",2019-05-01,"2019-05-01 08",29.89,70,NA,NA,89,"OVC:08 13",29.20, 9,"190","17",13, 8,3,2019-05-04,2019-05,75.68385
"2019-06",12281,"Saturday",2019-06-01,"2019-06-01 08",30.01,68,NA,NA,74,"*",29.32,10,"230",NA, 3, 8,6,2019-06-01,2019-06,83.69139
"2019-07",11419,"Monday",2019-07-01,"2019-07-01 06",30.05,72,NA,NA,79,"*",29.36,10,"160",NA, 9, 6,1,2019-07-06,2019-07,87.91514
"2019-08",20547,"Thursday",2019-08-01,"2019-08-01 02",30.03,70,NA,NA,69,"CLR:00",29.34,10,"140",NA, 7, 2,4,2019-08-03,2019-08,88.43890
"2019-09",41423,"Sunday",2019-09-01,"2019-09-01 13",30.00,63,NA,NA,36,"SCT:04 50",29.31,10,"100",NA, 5,13,0,2019-09-07,2019-09,88.50453
"2019-10",34837,"Tuesday",2019-10-01,"2019-10-01 05",30.00,72,NA,NA,83,"BKN:07 16",29.31,10,"170","20",14, 5,2,2019-10-05,2019-10,69.16701
"2019-11",28224,"Friday",2019-11-01,"2019-11-01 06",30.35,25,NA,NA,56,"*",29.65,10,"160",NA,10, 6,5,2019-11-02,2019-11,57.18637
"2019-12",15030,"Sunday",2019-12-01,"2019-12-01 13",30.13,23,NA,NA,27,"*",29.44,10,"300","23", 9,13,0,2019-12-07,2019-12,54.50073
"2020-01",24732,"Thursday",2020-01-02,"2020-01-02 06",29.62,46,NA,NA,77,"BKN:07 150 BKN:07 180",28.94,10,"170",NA, 9, 6,4,2020-01-04,2020-01,51.90506
"2020-02",35541,"Saturday",2020-02-01,"2020-02-01 08",30.21,30,NA,NA,81,"*",29.52,10,"000",NA, 0, 8,6,2020-02-01,2020-02,50.47832
"2020-03",13547,"Sunday",2020-03-01,"2020-03-01 12",29.86,54,NA,NA,60,"BKN:07 23",29.17,10,"180","32",20,12,0,2020-03-07,2020-03,63.71588
