"Date","IDSwipes","LDT","Turnstile","Day","Hours","Month","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyRelativeHumidity","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Hour","Minutes","WeekdayCount","Week","Week_Day","End_of_Week","DayTemperature.Date","DayTemperature.Temperature","WeekTemperature.End_of_Week","WeekTemperature.Temperature"
2019-01-02, 235,"2019-01-02 07:14:08","DEDM (101.2LB)","Wednesday","2019-01-02 07","2019-01",30.23,30,NA,"-RA:02 |RA |RA",93,"OVC:08 7",29.54, 4,"020","18",13, 7,14,"2019-01-02 Wednesday","2019-01 Wednesday",3,2019-01-05,2019-01-02,33.74468,2019-01-05,45.94605
2019-01-06, 156,"2019-01-06 12:33:08","DEDM (101.1LB)","Sunday","2019-01-06 12","2019-01",30.10,43,NA,NA,63,"*",29.41,10,"170","17",10,12,33,"2019-01-06 Sunday","2019-01 Sunday",0,2019-01-12,2019-01-06,64.43590,2019-01-12,54.43132
2019-01-13, 290,"2019-01-13 12:42:16","DEDM (101.2LB)","Sunday","2019-01-13 12","2019-01",30.48,28,NA,NA,70,"OVC:08 21",29.78,10,"360","17",15,12,42,"2019-01-13 Sunday","2019-01 Sunday",0,2019-01-19,2019-01-13,36.72759,2019-01-19,48.89152
2019-01-20, 714,"2019-01-20 12:40:11","DEDM (101.2LB)","Sunday","2019-01-20 12","2019-01",30.37,19,NA,NA,42,"*",29.67,10,"000",NA, 0,12,40,"2019-01-20 Sunday","2019-01 Sunday",0,2019-01-26,2019-01-20,44.92157,2019-01-26,47.82352
2019-01-27, 868,"2019-01-27 12:59:47","DEDM (101.3LB)","Sunday","2019-01-27 12","2019-01",30.19,28,NA,NA,38,"*",29.49,10,"330",NA, 7,12,59,"2019-01-27 Sunday","2019-01 Sunday",0,2019-02-02,2019-01-27,56.74078,2019-02-02,50.60257
2019-02-03, 385,"2019-02-03 14:11:56","DEDM (101.2LB)","Sunday","2019-02-03 14","2019-02",29.78,57,NA,NA,64,"BKN:07 27",29.09,10,"190","24",15,14,11,"2019-02-03 Sunday","2019-02 Sunday",0,2019-02-09,2019-02-03,68.64935,2019-02-09,58.64780
2019-02-10, 953,"2019-02-10 13:56:08","DEDM (101.3LB)","Sunday","2019-02-10 13","2019-02",30.14,41,NA,NA,93,"OVC:08 4",29.45, 1,"160",NA, 5,13,56,"2019-02-10 Sunday","2019-02 Sunday",0,2019-02-16,2019-02-10,43.00000,2019-02-16,53.76985
2019-02-17,1005,"2019-02-17 10:49:16","DEDM (101.1LB)","Sunday","2019-02-17 10","2019-02",30.01,32,NA,NA,57,"*",29.32,10,"350","17",13,10,49,"2019-02-17 Sunday","2019-02 Sunday",0,2019-02-23,2019-02-17,47.54428,2019-02-23,45.31133
2019-02-24, 952,"2019-02-24 12:44:30","DEDM (101.2LB)","Sunday","2019-02-24 12","2019-02",30.39,23,NA,NA,28,"*",29.69,10,"330","*",10,12,44,"2019-02-24 Sunday","2019-02 Sunday",0,2019-03-02,2019-02-24,55.30147,2019-03-02,48.42762
2019-03-03, 942,"2019-03-03 14:59:53","DEDM (101.3LB)","Sunday","2019-03-03 14","2019-03",30.21,27,NA,NA,65,"OVC:08 25",29.52,10,"350","25",20,14,59,"2019-03-03 Sunday","2019-03 Sunday",0,2019-03-09,2019-03-03,32.64331,2019-03-09,44.35450
