Day,Active.Users
6/1/2018,90
6/2/2018,71
6/3/2018,71
6/4/2018,114
6/5/2018,103
6/6/2018,90
6/7/2018,96
6/8/2018,56
6/9/2018,53
6/10/2018,49
6/11/2018,94
6/12/2018,125
6/13/2018,98
6/14/2018,125
6/15/2018,74
6/16/2018,61
6/17/2018,60
6/18/2018,71
6/19/2018,96
6/20/2018,104
6/21/2018,102
6/22/2018,63
6/23/2018,60
6/24/2018,68
6/25/2018,91
6/26/2018,83
6/27/2018,99
6/28/2018,87
6/29/2018,80
6/30/2018,45
7/1/2018,41
7/2/2018,79
7/3/2018,69
7/4/2018,55
7/5/2018,65
7/6/2018,63
7/7/2018,44
7/8/2018,61
7/9/2018,74
7/10/2018,78
7/11/2018,75
7/12/2018,77
7/13/2018,57
7/14/2018,44
7/15/2018,41
7/16/2018,90
7/17/2018,93
7/18/2018,116
7/19/2018,96
7/20/2018,61
7/21/2018,39
7/22/2018,39
7/23/2018,65
7/24/2018,74
7/25/2018,75
7/26/2018,121
7/27/2018,72
7/28/2018,50
7/29/2018,58
7/30/2018,84
7/31/2018,101
8/1/2018,96
8/2/2018,81
8/3/2018,65
8/4/2018,68
8/5/2018,71
8/6/2018,111
8/7/2018,112
8/8/2018,129
8/9/2018,111
8/10/2018,90
8/11/2018,67
8/12/2018,73
8/13/2018,98
8/14/2018,93
8/15/2018,102
8/16/2018,98
8/17/2018,72
8/18/2018,63
8/19/2018,55
8/20/2018,83
8/21/2018,110
8/22/2018,81
8/23/2018,92
8/24/2018,109
8/25/2018,90
8/26/2018,58
8/27/2018,93
8/28/2018,89
8/29/2018,94
8/30/2018,90
8/31/2018,84
9/1/2018,59
9/2/2018,57
9/3/2018,58
9/4/2018,71
9/5/2018,97
9/6/2018,107
9/7/2018,78
9/8/2018,84
9/9/2018,84
9/10/2018,125
9/11/2018,100
9/12/2018,110
9/13/2018,111
9/14/2018,70
9/15/2018,72
9/16/2018,83
9/17/2018,91
9/18/2018,112
9/19/2018,104
9/20/2018,104
9/21/2018,112
9/22/2018,91
9/23/2018,71
9/24/2018,99
9/25/2018,157
9/26/2018,106
9/27/2018,85
9/28/2018,75
9/29/2018,100
9/30/2018,81
10/1/2018,112
10/2/2018,92
10/3/2018,95
10/4/2018,86
10/5/2018,87
10/6/2018,63
10/7/2018,71
10/8/2018,92
10/9/2018,99
10/10/2018,83
10/11/2018,101
10/12/2018,71
10/13/2018,73
10/14/2018,60
10/15/2018,78
10/16/2018,94
10/17/2018,95
10/18/2018,83
10/19/2018,71
10/20/2018,72
10/21/2018,88
10/22/2018,80
10/23/2018,105
10/24/2018,95
10/25/2018,148
10/26/2018,68
10/27/2018,74
10/28/2018,95
10/29/2018,100
10/30/2018,86
10/31/2018,78
11/1/2018,65
11/2/2018,59
11/3/2018,62
11/4/2018,70
11/5/2018,93
11/6/2018,119
11/7/2018,96
11/8/2018,72
11/9/2018,54
11/10/2018,42
11/11/2018,68
11/12/2018,91
11/13/2018,98
11/14/2018,110
11/15/2018,88
11/16/2018,77
11/17/2018,78
11/18/2018,70
11/19/2018,92
11/20/2018,95
11/21/2018,81
11/22/2018,100
11/23/2018,124
11/24/2018,72
11/25/2018,80
11/26/2018,116
11/27/2018,108
11/28/2018,113
11/29/2018,103
11/30/2018,67
,
,
,
,
,
,
,
,
,
